"VirtualSensorCode","YearMonth","Aantal","longitude","latitude"
1627,"2017-12",112753,"53,200104","5,793139"
1627,"2017-11",116972,"53,200104","5,793139"
1627,"2017-10",112262,"53,200104","5,793139"
1627,"2017-09",106728,"53,200104","5,793139"
1627,"2017-08",101674,"53,200104","5,793139"
1627,"2017-07",104750,"53,200104","5,793139"
1627,"2017-06",105099,"53,200104","5,793139"
1627,"2017-05",116967,"53,200104","5,793139"
1627,"2017-04",117409,"53,200104","5,793139"
1627,"2017-03",121189,"53,200104","5,793139"
1627,"2017-02",105947,"53,200104","5,793139"
1627,"2017-01",107542,"53,200104","5,793139"
1627,"2016-12",69608,"53,200104","5,793139"
1627,"2016-11",116097,"53,200104","5,793139"
1627,"2016-10",121093,"53,200104","5,793139"
1627,"2016-09",105794,"53,200104","5,793139"
1627,"2016-08",97427,"53,200104","5,793139"
1627,"2016-07",100400,"53,200104","5,793139"
1627,"2016-06",94935,"53,200104","5,793139"
1627,"2016-05",106167,"53,200104","5,793139"
1627,"2016-04",106838,"53,200104","5,793139"
1627,"2016-03",71684,"53,200104","5,793139"
1627,"2016-02",21587,"53,200104","5,793139"
1631,"2018-04",53763,"53,202216","5,791639"
1631,"2018-03",59956,"53,202216","5,791639"
1631,"2018-02",48859,"53,202216","5,791639"
1631,"2018-01",52524,"53,202216","5,791639"
1631,"2017-12",59968,"53,202216","5,791639"
1631,"2017-11",58654,"53,202216","5,791639"
1631,"2017-10",55341,"53,202216","5,791639"
1631,"2017-09",54568,"53,202216","5,791639"
1631,"2017-08",63231,"53,202216","5,791639"
1631,"2017-07",59668,"53,202216","5,791639"
1631,"2017-06",54560,"53,202216","5,791639"
1631,"2017-05",65103,"53,202216","5,791639"
1631,"2017-04",60801,"53,202216","5,791639"
1631,"2017-03",54245,"53,202216","5,791639"
1631,"2017-02",51089,"53,202216","5,791639"
1631,"2017-01",53196,"53,202216","5,791639"
1631,"2016-12",65577,"53,202216","5,791639"
1631,"2016-11",55115,"53,202216","5,791639"
1631,"2016-10",61449,"53,202216","5,791639"
1631,"2016-09",58061,"53,202216","5,791639"
1631,"2016-08",58716,"53,202216","5,791639"
1631,"2016-07",54364,"53,202216","5,791639"
1631,"2016-06",48776,"53,202216","5,791639"
1631,"2016-05",53123,"53,202216","5,791639"
1631,"2016-04",3994,"53,202216","5,791639"
1631,"2016-03",39820,"53,202216","5,791639"
1631,"2016-02",12255,"53,202216","5,791639"
1636,"2018-04",56290,"53,201777","5,796556"
1636,"2018-03",69374,"53,201777","5,796556"
1636,"2018-02",50157,"53,201777","5,796556"
1636,"2018-01",57760,"53,201777","5,796556"
1636,"2017-12",63126,"53,201777","5,796556"
1636,"2017-11",68034,"53,201777","5,796556"
1636,"2017-10",68455,"53,201777","5,796556"
1636,"2017-09",62981,"53,201777","5,796556"
1636,"2017-08",54176,"53,201777","5,796556"
1636,"2017-07",58733,"53,201777","5,796556"
1636,"2017-06",61462,"53,201777","5,796556"
1636,"2017-05",69531,"53,201777","5,796556"
1636,"2017-04",68506,"53,201777","5,796556"
1636,"2017-03",67702,"53,201777","5,796556"
1636,"2017-02",57818,"53,201777","5,796556"
1636,"2017-01",62514,"53,201777","5,796556"
1636,"2016-12",65946,"53,201777","5,796556"
1636,"2016-11",65122,"53,201777","5,796556"
1636,"2016-10",64199,"53,201777","5,796556"
1636,"2016-09",62756,"53,201777","5,796556"
1636,"2016-08",52345,"53,201777","5,796556"
1636,"2016-07",54558,"53,201777","5,796556"
1636,"2016-06",57288,"53,201777","5,796556"
1636,"2016-05",67663,"53,201777","5,796556"
1636,"2016-04",64201,"53,201777","5,796556"
1636,"2016-03",42535,"53,201777","5,796556"
1636,"2016-02",6805,"53,201777","5,796556"
2054,"2018-04",55566,"53,199645","5,795879"
2054,"2018-03",75654,"53,199645","5,795879"
2054,"2018-02",68486,"53,199645","5,795879"
2054,"2018-01",82242,"53,199645","5,795879"
2054,"2017-12",100510,"53,199645","5,795879"
2054,"2017-11",98914,"53,199645","5,795879"
2054,"2017-10",100470,"53,199645","5,795879"
2054,"2017-09",89290,"53,199645","5,795879"
2054,"2017-08",83535,"53,199645","5,795879"
2054,"2017-07",86299,"53,199645","5,795879"
2054,"2017-06",80029,"53,199645","5,795879"
2054,"2017-05",87580,"53,199645","5,795879"
2054,"2017-04",91256,"53,199645","5,795879"
2054,"2017-03",82543,"53,199645","5,795879"
2054,"2017-02",74364,"53,199645","5,795879"
2054,"2017-01",81561,"53,199645","5,795879"
2054,"2016-12",98551,"53,199645","5,795879"
2054,"2016-11",86778,"53,199645","5,795879"
2054,"2016-10",89587,"53,199645","5,795879"
2054,"2016-09",76813,"53,199645","5,795879"
2054,"2016-08",77165,"53,199645","5,795879"
2054,"2016-07",80798,"53,199645","5,795879"
2054,"2016-06",71864,"53,199645","5,795879"
2054,"2016-05",75202,"53,199645","5,795879"
2054,"2016-04",38247,"53,199645","5,795879"
2779,"2018-04",94695,"53,202032","5,799048"
2779,"2018-03",112547,"53,202032","5,799048"
2779,"2018-02",96360,"53,202032","5,799048"
2779,"2018-01",107532,"53,202032","5,799048"
2779,"2017-12",134095,"53,202032","5,799048"
2779,"2017-11",147130,"53,202032","5,799048"
2779,"2017-10",145164,"53,202032","5,799048"
2779,"2017-09",132472,"53,202032","5,799048"
2779,"2017-08",106354,"53,202032","5,799048"
2779,"2017-07",145210,"53,202032","5,799048"
2779,"2017-06",143896,"53,202032","5,799048"
2779,"2017-05",159481,"53,202032","5,799048"
2779,"2017-04",97157,"53,202032","5,799048"
2779,"2017-03",41439,"53,202032","5,799048"
2779,"2017-02",1101,"53,202032","5,799048"
2779,"2016-11",31,"53,202032","5,799048"
